line,datetime,dim,m_dist,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,bus10,bus11,bus12,bus13,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89,hw910,hw1011,hw1112,hw1213
18,2021-01-11 18:27:30.766670100,2,5.76006,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,349,-1729,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:57.215599300,3,3.64357,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,182,430,-957,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:28.419892600,3,3.70902,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,320,328,-967,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:31:59.594212100,3,3.75429,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,342,286,-967,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:29:29.787771500,3,4.22304,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,338,362,-1165,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:29:29.787771500,4,4.23901,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,338,362,-1165,1447,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,3,5.91526,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,252,349,-1729,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,3,5.67704,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,283,317,-1638,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,4,5.75208,2,BF67GMX,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,283,317,-1638,1904,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:57.215599300,3,3.63516,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,430,-957,1340,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:28.419892600,3,3.75175,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,328,-967,1365,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:31:59.594212100,3,3.76437,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,286,-967,1340,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:29:29.787771500,3,4.23285,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,362,-1165,1447,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,3,5.71316,2,BF67GLJ,BF67GMY,LJ16EWH,BF67GMU,0,0,0,0,0,0,0,0,0,317,-1638,1904,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:57.215599300,1,3.32931,2,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,0,-957,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:57.215599300,1,3.02929,2,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,0,-842,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:28.419892600,1,3.3554,2,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,0,-967,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:31:59.594212100,1,3.3554,2,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,0,-967,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:29:29.787771500,1,3.87196,2,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,0,-1165,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,1,5.34337,2,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,0,-1729,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:27:30.766670100,1,5.10596,2,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,0,-1638,0,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:57.215599300,2,3.50589,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,430,-957,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:57.215599300,2,3.25977,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,347,-842,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:32:28.419892600,2,3.63212,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,328,-967,0,0,0,0,0,0,0,0,0,0
18,2021-01-11 18:31:59.594212100,2,3.67803,2,BF67GLJ,BF67GMY,LJ16EWH,0,0,0,0,0,0,0,0,0,0,286,-967,0,0,0,0,0,0,0,0,0,0
