,line_id,direction,lon,lat,sequence
162,25,2,-0.002484,51.54134,51
163,25,2,-0.002166,51.541362,52
164,25,2,-0.001867,51.540628,53
165,25,2,-0.00196,51.540477,54
166,25,2,-0.001646,51.5404,55
167,25,2,-0.001299,51.540412,56
168,25,2,-0.000612,51.539636,57
169,25,2,-0.000515,51.539221,58
170,25,2,-0.001105,51.538601,59
171,25,2,-0.005461,51.535285,60
172,25,2,-0.006942,51.534042,61
173,25,2,-0.010716,51.531166,62
174,25,2,-0.012004,51.530396,63
175,25,2,-0.013577,51.529685,64
176,25,2,-0.013657,51.529507,65
177,25,2,-0.014205,51.529507,66
178,25,2,-0.015919,51.528871,67
179,25,2,-0.017788,51.528345,68
180,25,2,-0.021848,51.527802,69
181,25,2,-0.023911,51.527432,70
182,25,2,-0.025063,51.527145,71
183,25,2,-0.025322,51.52715,72
184,25,2,-0.02822,51.52647,73
185,25,2,-0.030546,51.526023,74
186,25,2,-0.035486,51.524811,75
187,25,2,-0.037126,51.524218,76
188,25,2,-0.038981,51.523314,77
189,25,2,-0.041509,51.522529,78
190,25,2,-0.04225,51.522379,79
191,25,2,-0.044145,51.522231,80
192,25,2,-0.045669,51.521987,81
193,25,2,-0.049203,51.521254,82
194,25,2,-0.049308,51.521175,83
195,25,2,-0.050134,51.521054,84
196,25,2,-0.050166,51.520991,85
197,25,2,-0.05044,51.520987,86
198,25,2,-0.053394,51.520344,87
199,25,2,-0.056356,51.519826,88
200,25,2,-0.063819,51.518214,89
201,25,2,-0.065733,51.517607,90
202,25,2,-0.065906,51.517619,91
203,25,2,-0.066899,51.517303,92
204,25,2,-0.070013,51.515924,93
205,25,2,-0.070281,51.51574,94
206,25,2,-0.075269,51.513987,95
207,25,2,-0.077796,51.513211,96
208,25,2,-0.081126,51.513517,97
209,25,2,-0.087909,51.513313,98
210,25,2,-0.088584,51.513378,99
211,25,2,-0.088803,51.51331,100
212,25,2,-0.089624,51.513323,101
213,25,2,-0.093523,51.512442,102
214,25,2,-0.093898,51.512439,103
215,25,2,-0.096444,51.512894,104
216,25,2,-0.096333,51.513486,105
217,25,2,-0.096407,51.513793,106
218,25,2,-0.096893,51.514215,107
219,25,2,-0.096933,51.514647,108
220,25,2,-0.097395,51.514969,109
221,25,2,-0.09792,51.515176,110
222,25,2,-0.101801,51.51612,111
223,25,2,-0.102197,51.516306,112
224,25,2,-0.102965,51.516552,113
