line,datetime,dim,m_dist,anom,anom_size,bus1,bus2,bus3,bus4,bus5,bus6,bus7,bus8,bus9,hw12,hw23,hw34,hw45,hw56,hw67,hw78,hw89
133,2021-01-19 21:20:08.287750,1,0.87034,0,0,4699,4685,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0
133,2021-01-19 21:20:08.287750,1,0.79975,0,0,4685,4693,0,0,0,0,0,0,0,698,0,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,2,1.95591,0,0,4837,4728,4828,0,0,0,0,0,0,104,375,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,2,1.14827,0,0,4835,4826,4818,0,0,0,0,0,0,738,602,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,2,0.39257,0,0,4728,4828,8293,0,0,0,0,0,0,375,603,0,0,0,0,0,0
133,2021-01-19 21:20:08.287750,2,1.03803,0,0,4699,4685,4693,0,0,0,0,0,0,325,698,0,0,0,0,0,0
132,2021-01-19 21:20:08.685799,3,1.56119,0,0,4837,4728,4828,8293,0,0,0,0,0,104,375,603,0,0,0,0,0
1,2021-01-19 21:20:55.278290,1,0.45712,0,0,8284,5450,0,0,0,0,0,0,0,844,0,0,0,0,0,0,0
1,2021-01-19 21:20:55.278290,1,0.37166,0,0,8280,8322,0,0,0,0,0,0,0,1120,0,0,0,0,0,0,0
44,2021-01-19 21:20:58.883718,1,0.62735,0,0,5661,5657,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0
82,2021-01-19 21:20:59.158538,1,0.91074,0,0,4836,4710,0,0,0,0,0,0,0,791,0,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,1,2.11098,1,1,4837,4728,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,1,0.65248,0,0,4835,4826,0,0,0,0,0,0,0,723,0,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,1,0.49566,0,0,4728,4828,0,0,0,0,0,0,0,433,0,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,1,0.31992,0,0,4826,4818,0,0,0,0,0,0,0,639,0,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,1,0.03486,0,0,4828,8293,0,0,0,0,0,0,0,567,0,0,0,0,0,0,0
133,2021-01-19 21:20:57.379500,1,1.56987,0,0,8312,4690,0,0,0,0,0,0,0,870,0,0,0,0,0,0,0
133,2021-01-19 21:20:57.379500,1,0.86139,0,0,4699,4685,0,0,0,0,0,0,0,327,0,0,0,0,0,0,0
133,2021-01-19 21:20:57.379500,1,0.16738,0,0,4690,4686,0,0,0,0,0,0,0,482,0,0,0,0,0,0,0
133,2021-01-19 21:20:57.379500,1,1.05944,0,0,4685,4693,0,0,0,0,0,0,0,756,0,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,2,2.07929,0,0,4837,4728,4828,0,0,0,0,0,0,25,433,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,2,1.19238,0,0,4835,4826,4818,0,0,0,0,0,0,723,639,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,2,0.1655,0,0,4728,4828,8293,0,0,0,0,0,0,433,567,0,0,0,0,0,0
133,2021-01-19 21:20:57.379500,2,1.98156,0,0,8312,4690,4686,0,0,0,0,0,0,870,482,0,0,0,0,0,0
133,2021-01-19 21:20:57.379500,2,1.29116,0,0,4699,4685,4693,0,0,0,0,0,0,327,756,0,0,0,0,0,0
132,2021-01-19 21:20:57.383556,3,1.70693,0,0,4837,4728,4828,8293,0,0,0,0,0,25,433,567,0,0,0,0,0
1,2021-01-19 21:21:49.314345,1,0.36703,0,0,8284,5450,0,0,0,0,0,0,0,874,0,0,0,0,0,0,0
1,2021-01-19 21:21:49.314345,1,0.26656,0,0,8280,8322,0,0,0,0,0,0,0,1085,0,0,0,0,0,0,0
44,2021-01-19 21:21:49.581846,1,0.76818,0,0,5661,5657,0,0,0,0,0,0,0,603,0,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,1,1.91302,1,1,4837,4728,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,1,0.75146,0,0,4835,4826,0,0,0,0,0,0,0,748,0,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,1,0.89157,0,0,4728,4828,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,1,0.37139,0,0,4826,4818,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,1,0.08633,0,0,4828,8293,0,0,0,0,0,0,0,580,0,0,0,0,0,0,0
133,2021-01-19 21:21:43.364366,1,1.65942,0,0,8312,4690,0,0,0,0,0,0,0,890,0,0,0,0,0,0,0
133,2021-01-19 21:21:43.364366,1,0.72363,0,0,4685,4693,0,0,0,0,0,0,0,681,0,0,0,0,0,0,0
133,2021-01-19 21:21:43.364366,1,0.11813,0,0,4690,4686,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0
132,2021-01-19 21:21:49.066040,2,2.20305,1,1,4837,4728,4828,0,0,0,0,0,0,75,333,0,0,0,0,0,0
